,epoch,loss
0,0,0.08230000851800044
1,1,0.0528798908367753
2,2,0.04635219807550311
3,3,0.042923748252292476
4,4,0.03984770346184571
5,5,0.03768244558945298
6,6,0.03613768617312114
7,7,0.03395075126178563
8,8,0.03258400394208729
9,9,0.03137662242166698
10,10,0.030658818495149415
11,11,0.02984660254480938
12,12,0.028193005681658785
13,13,0.02744024148086707
14,14,0.026574652668709557
15,15,0.026605801263824107
16,16,0.025609289863767724
17,17,0.02464459315749506
18,18,0.02415771517033378
19,19,0.023633995635434984
